f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	digit
B	B	B	B	B	W	W	B	B	W	W	B	B	B	B	B	0
B	B	B	W	B	W	W	B	B	W	W	B	B	B	B	B	0
W	B	B	B	W	B	W	B	B	W	W	B	B	B	B	B	0
W	B	B	B	W	B	W	B	W	B	W	B	W	B	B	B	0
B	B	B	W	B	W	B	W	B	W	B	W	B	B	B	W	0
B	B	B	W	B	W	W	B	B	W	B	W	B	B	B	W	0
B	B	B	W	B	W	W	B	B	W	W	B	B	B	B	W	0
W	B	B	W	B	W	W	B	B	W	W	B	W	B	B	W	0
W	B	B	W	W	B	W	B	W	B	W	B	W	B	B	W	0
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	0
W	B	W	W	W	B	W	W	W	B	W	W	W	B	W	W	1
W	W	B	W	W	W	B	W	W	W	B	W	W	W	B	W	1
B	W	W	W	B	W	W	W	B	W	W	W	B	W	W	W	1
W	W	W	B	W	W	W	B	W	W	W	B	W	W	W	B	1
W	B	B	W	W	W	B	W	W	W	B	W	W	W	B	W	1
W	B	W	W	W	B	W	W	W	B	W	W	W	W	W	W	1
W	W	B	W	W	W	B	W	W	W	B	W	W	W	B	W	1
B	W	W	W	B	W	W	W	B	W	W	W	B	W	W	W	1
W	W	B	W	W	W	B	W	W	W	B	W	W	W	B	W	1
W	B	B	W	W	W	B	W	W	W	B	W	W	W	B	W	1
W	B	B	W	B	W	B	W	W	W	B	W	B	B	B	B	2
W	B	B	W	B	W	B	W	W	B	W	W	B	B	B	B	2
W	B	B	W	B	W	B	W	W	B	W	W	B	B	B	W	2
W	B	B	W	W	W	B	W	W	B	W	W	B	B	B	W	2
W	B	B	W	B	W	B	W	W	B	W	W	W	B	B	W	2
W	B	B	W	W	W	B	W	W	B	W	W	W	B	B	W	2
B	B	W	W	W	B	W	W	B	W	W	W	B	B	W	W	2
W	B	B	W	W	W	B	W	W	B	W	W	B	B	B	W	2
W	B	B	W	W	W	B	W	W	B	W	W	W	B	B	W	2
W	B	B	W	W	W	B	W	W	B	W	W	B	B	B	B	2
B	B	B	W	W	B	B	W	W	B	W	W	B	B	B	W	3
B	B	W	W	W	W	B	W	W	B	W	W	B	B	B	W	3
B	B	B	W	W	W	B	W	W	B	B	W	B	B	B	W	3
B	B	B	W	W	W	B	W	W	B	W	W	B	B	B	W	3
B	B	B	B	W	W	B	B	W	W	B	B	B	B	B	B	3
B	B	B	W	W	W	B	W	W	B	W	W	B	B	B	W	3
B	B	B	W	W	B	B	W	W	B	B	W	B	B	B	W	3
B	B	W	W	W	B	B	W	W	B	W	W	B	B	B	W	3
B	B	B	W	W	B	B	W	W	B	W	W	B	B	B	W	3
B	B	B	W	W	B	B	W	W	B	W	W	B	B	B	W	3
W	B	W	B	W	B	W	B	W	B	B	B	W	W	W	B	4
W	B	W	B	W	B	W	B	W	B	B	B	W	W	W	B	4
B	W	B	W	B	W	B	W	B	B	B	W	W	W	B	W	4
B	W	B	W	B	B	B	W	W	W	B	W	W	W	B	W	4
W	B	W	B	W	B	B	B	W	W	W	B	W	W	W	B	4
B	W	B	W	B	W	B	W	B	B	B	W	W	W	B	W	4
B	W	B	W	B	B	B	W	W	W	B	W	W	W	B	W	4
B	W	B	W	B	B	B	W	W	W	B	W	W	W	B	W	4
B	W	B	W	B	W	B	W	W	B	B	W	W	W	B	W	4
B	W	B	W	B	W	B	W	W	B	B	W	W	W	B	W	4
B	B	W	W	B	W	W	W	W	B	B	W	B	B	B	W	5
B	B	B	W	B	W	W	W	W	B	B	W	B	B	B	W	5
B	B	B	W	B	W	W	W	W	B	B	W	B	B	B	W	5
B	B	B	W	B	W	W	W	W	B	B	W	W	B	B	W	5
B	B	B	W	B	W	W	W	W	W	B	W	B	B	B	W	5
B	B	B	W	B	B	W	W	W	W	B	W	B	B	B	W	5
B	B	B	W	B	B	W	W	W	B	W	W	B	B	B	W	5
W	B	B	W	B	B	W	W	W	B	W	W	B	B	W	W	5
B	B	B	W	B	B	W	W	W	B	W	W	B	B	W	W	5
B	B	W	W	B	B	W	W	W	B	W	W	B	B	W	W	5
B	B	W	W	B	W	W	W	B	B	W	W	B	B	W	W	6
B	B	W	W	B	W	W	W	B	B	W	W	B	B	B	W	6
W	B	B	W	W	B	W	W	W	B	B	B	W	B	B	B	6
W	B	B	B	W	B	W	W	W	B	B	B	W	B	B	B	6
B	B	B	W	B	W	W	W	B	B	B	W	B	B	B	W	6
W	B	B	W	W	B	W	W	W	B	B	W	W	B	B	B	6
B	W	W	W	B	W	W	W	B	B	W	W	B	B	B	W	6
B	B	W	W	B	W	W	W	B	B	W	W	B	B	W	W	6
W	B	B	B	W	B	W	W	W	B	B	B	W	B	B	B	6
B	B	W	W	B	W	W	W	B	B	B	W	B	B	B	W	6
B	B	B	W	W	W	B	W	W	B	B	W	W	W	B	W	7
B	B	B	W	W	W	B	W	W	B	B	B	W	W	B	W	7
B	B	B	B	W	W	B	W	W	B	W	W	W	B	W	W	7
W	B	B	B	W	W	W	B	W	W	B	W	W	W	B	W	7
B	B	B	W	W	W	B	W	W	B	W	W	W	B	W	W	7
B	B	B	W	W	W	B	W	W	W	B	W	W	B	W	W	7
W	B	B	W	W	W	B	W	W	B	W	W	W	B	W	W	7
B	B	B	W	W	W	B	W	W	B	W	W	W	B	W	W	7
B	B	B	B	W	W	B	W	W	B	W	W	W	B	W	W	7
B	B	B	W	W	W	B	W	W	W	B	W	W	B	W	W	7
B	B	B	W	W	B	W	W	B	B	B	W	B	B	W	W	8
B	B	W	W	W	B	W	W	B	B	B	W	B	B	W	W	8
W	B	B	B	W	W	B	W	W	B	B	W	W	B	B	B	8
W	B	B	B	W	B	B	W	W	B	B	W	W	B	B	B	8
B	B	B	W	W	B	B	W	W	B	B	W	B	B	B	W	8
W	B	B	W	W	W	B	W	W	B	B	W	W	B	B	W	8
W	B	W	W	B	B	W	W	B	B	W	W	W	W	W	W	8
W	B	B	W	W	W	B	W	W	B	B	W	W	B	B	W	8
W	B	B	W	W	B	B	W	W	B	B	W	W	B	B	W	8
W	B	B	W	W	W	B	W	W	B	B	W	W	B	B	W	8
W	B	B	B	W	B	B	B	W	W	W	B	W	W	W	B	9
W	B	B	W	B	B	B	W	W	W	B	W	W	W	B	W	9
B	B	W	W	B	B	B	W	W	W	B	W	W	W	B	W	9
B	B	B	W	B	B	B	W	W	W	B	W	W	W	B	W	9
B	B	B	W	B	B	B	W	W	W	B	W	W	B	B	W	9
B	B	B	W	B	B	B	W	W	W	B	W	B	B	B	W	9
W	B	B	B	W	B	B	B	W	W	W	B	W	B	B	B	9
